id,experience_age_pedagogic,category_qual_cat,class_manager,main_position_cat,main_position,sex,experience_age_other,min_parallel,max_parallel,year,n_unique_subjects,n_unique_parallel,is_critical,studied_in_moscow_any,has_higher_edu,has_prestigious_university,attrition_rate_2022,load_vs_district,school_known,school_size_deviation,buildings_num_filled,pkpp_prog_types_2023,pkpp_total_courses,pkpp_unique_types,is_out_next_year
bc9be0ebaa,0,не_найдено,0,другой,Специалист по сетевому администрированию,1,25,6,11,2022,1.3862943611198906,6,False,1.0,1.0,0.0,0.11940298507462686,-0.12498123388665773,1,-0.2777909300952661,7.0,0.0,0.0,0.0,1
bcaece432f,2,высшая,1,учитель,Учитель,0,28,1,2,2022,1.9459101490553132,2,False,0.0,1.0,0.0,0.05319148936170213,-0.06372121360433473,1,0.013248545836492312,22.0,1.0,2.0,1.0,0
bcaece432f,3,высшая,1,учитель,Учитель,0,28,3,3,2023,2.302585092994046,1,False,0.0,1.0,0.0,0.05319148936170213,-0.06372121360433473,1,0.013248545836492312,22.0,1.0,2.0,1.0,0
bcaece432f,3,высшая,1,учитель,Учитель,0,28,4,4,2024,1.9459101490553132,1,False,0.0,1.0,0.0,0.05319148936170213,-0.06372121360433473,1,0.013248545836492312,22.0,1.0,2.0,1.0,1
bcb16025e7,38,высшая,0,учитель,Педагог-психолог,0,2,9,9,2022,1.0986122886681098,1,False,1.0,1.0,0.0,0.0851063829787234,0.07278447780082355,1,0.20942082759108094,8.0,0.0,1.0,1.0,1
bcb1f0ae38,40,высшая,1,учитель,Учитель,0,3,3,3,2022,2.0794415416798357,1,False,1.0,1.0,0.0,0.125,-0.059845688609603126,1,-0.1376608120540491,5.0,1.0,3.0,1.0,0
bcb1f0ae38,41,высшая,1,учитель,Учитель,0,3,4,4,2023,2.1972245773362196,1,False,1.0,1.0,0.0,0.125,-0.059845688609603126,1,-0.1376608120540491,5.0,1.0,3.0,1.0,0
bcb1f0ae38,42,высшая,1,учитель,Учитель,0,3,1,5,2024,2.302585092994046,2,False,1.0,1.0,0.0,0.125,-0.059845688609603126,1,-0.1376608120540491,5.0,1.0,3.0,1.0,1
bcb20ae67e,0,не_найдено,0,другой,Специалист по связям с общественностью,0,6,7,10,2023,1.6094379124341003,4,False,0.0,1.0,0.0,0.08247422680412371,0.10456490291469898,1,-0.08377760451786918,4.0,0.0,0.0,0.0,0
bcb20ae67e,0,не_найдено,0,другой,Специалист по связям с общественностью,0,7,6,11,2024,1.6094379124341003,6,False,0.0,1.0,0.0,0.08247422680412371,0.10456490291469898,1,-0.08377760451786918,4.0,0.0,0.0,0.0,1
bcb2255af0,7,высшая,0,учитель,Учитель,0,8,8,11,2024,1.6094379124341003,4,False,1.0,1.0,0.0,0.1569767441860465,-0.014928249400660823,1,0.6246417734322319,13.0,0.0,0.0,0.0,1
bcb3cd3bbf,4,первая,1,учитель,Учитель,0,0,4,4,2022,2.1972245773362196,1,False,1.0,1.0,0.0,0.11940298507462686,-0.12498123388665773,1,-0.2777909300952661,7.0,0.0,1.0,1.0,1
bcb3f07871,5,первая,0,учитель,Учитель,0,22,2,4,2022,0.6931471805599453,3,False,1.0,1.0,0.0,0.08791208791208792,0.08248114872449118,1,0.9618216525770383,19.0,1.0,2.0,1.0,0
bcb3f07871,6,первая,0,учитель,Учитель,0,21,2,4,2023,0.6931471805599453,3,False,1.0,1.0,0.0,0.08791208791208792,0.08248114872449118,1,0.9618216525770383,19.0,1.0,2.0,1.0,0
bcb3f07871,7,первая,0,учитель,Учитель,0,22,2,6,2024,0.6931471805599453,4,False,1.0,1.0,0.0,0.08791208791208792,0.08248114872449118,1,0.9618216525770383,19.0,1.0,2.0,1.0,1
bcb7e8af6b,29,высшая,1,учитель,Учитель,0,0,5,9,2022,1.6094379124341003,4,False,0.0,1.0,0.0,0.15151515151515152,-0.26450754277093297,1,0.00977428038931451,18.0,0.0,1.0,1.0,1
bcb986911e,0,не_найдено,1,учитель,Учитель,0,0,2,8,2023,1.6094379124341003,6,False,1.0,1.0,0.0,0.14705882352941177,-0.267213705530897,1,-0.41673321789933687,19.0,1.0,3.0,1.0,0
bcb986911e,1,не_найдено,1,учитель,Учитель,0,0,4,9,2024,1.791759469228055,6,True,1.0,1.0,0.0,0.14705882352941177,-0.267213705530897,1,-0.41673321789933687,19.0,1.0,3.0,1.0,1
bcb9aa0225,35,высшая,1,учитель,Учитель,0,6,1,1,2022,1.791759469228055,1,False,0.0,1.0,0.0,0.08496732026143791,-0.12316902977289018,1,0.31235025972649205,9.0,0.0,1.0,1.0,0
bcb9aa0225,36,высшая,1,учитель,Учитель,0,6,2,2,2023,1.9459101490553132,1,False,0.0,1.0,0.0,0.08496732026143791,-0.12316902977289018,1,0.31235025972649205,9.0,0.0,1.0,1.0,0
bcb9aa0225,37,высшая,1,учитель,Учитель,0,6,3,3,2024,1.9459101490553132,1,False,0.0,1.0,0.0,0.08496732026143791,-0.12316902977289018,1,0.31235025972649205,9.0,0.0,1.0,1.0,1
bcbb6ec65a,9,первая,0,учитель,Учитель,0,0,5,11,2022,1.6094379124341003,6,False,0.0,1.0,0.0,0.05813953488372093,-0.22423523182143099,1,-0.187679113283884,11.0,1.0,4.0,1.0,0
bcbb6ec65a,10,первая,0,учитель,Учитель,0,0,5,11,2023,2.0794415416798357,7,False,0.0,1.0,0.0,0.05813953488372093,-0.22423523182143099,1,-0.187679113283884,11.0,1.0,4.0,1.0,0
bcbb6ec65a,11,первая,1,учитель,Учитель,0,0,7,11,2024,1.791759469228055,5,False,0.0,1.0,0.0,0.05813953488372093,-0.22423523182143099,1,-0.187679113283884,11.0,1.0,4.0,1.0,1
bcbff4e665,13,высшая,1,учитель,Учитель,0,9,6,11,2022,1.3862943611198906,4,False,1.0,1.0,0.0,0.0851063829787234,0.07278447780082355,1,0.20942082759108094,8.0,1.0,8.0,1.0,0
bcbff4e665,14,высшая,1,учитель,Учитель,0,9,7,9,2023,1.0986122886681098,3,False,1.0,1.0,0.0,0.0851063829787234,0.07278447780082355,1,0.20942082759108094,8.0,1.0,8.0,1.0,0
bcbff4e665,15,высшая,1,учитель,Учитель,0,9,8,11,2024,2.0794415416798357,3,False,1.0,1.0,0.0,0.0851063829787234,0.07278447780082355,1,0.20942082759108094,8.0,1.0,8.0,1.0,1
